ID_Tempo,ID_Local,ID_Produto,ID_Canal,ID_Indicador,ID_Cenario,valor
1,1,1,1,1,1,42
1,1,1,2,1,1,1932
1,1,2,3,1,1,336
1,2,1,4,1,1,126
1,2,3,2,1,1,42
1,2,2,5,1,1,0
1,2,2,2,1,1,0
1,3,1,6,1,1,42
1,3,1,5,1,1,9996
1,3,1,1,1,1,504
1,3,1,3,1,1,13860
1,3,3,7,1,1,1176
1,3,3,3,1,1,1092
1,3,4,1,1,1,84
1,3,4,3,1,1,252
1,3,5,4,1,1,252
1,4,2,4,1,1,42
1,5,3,6,1,1,84
1,5,3,2,1,1,-2016
1,5,3,3,1,1,7812
1,5,6,3,1,1,756
1,5,2,5,1,1,3948
1,5,2,3,1,1,882
1,5,5,7,1,1,84
1,6,3,5,1,1,0
1,6,2,7,1,1,42
1,7,3,1,1,1,0
1,8,1,5,1,1,42
1,8,3,7,1,1,42
1,9,1,7,1,1,42
1,9,1,5,1,1,42
1,9,1,3,1,1,42
1,9,5,4,1,1,42
1,10,1,7,1,1,84
1,10,1,5,1,1,42
1,10,5,4,1,1,-84
1,11,1,1,1,1,0
2,1,1,7,1,1,8736
2,1,1,5,1,1,2184
2,12,1,3,1,1,-42
2,13,2,5,1,1,0
2,2,1,5,1,1,42
2,2,3,3,1,1,0
2,2,2,3,1,1,84
2,3,1,7,1,1,7350
2,3,4,4,1,1,336
2,3,5,2,1,1,210
2,3,5,3,1,1,462
2,14,1,4,1,1,84
2,15,1,5,1,1,42
2,15,1,3,1,1,42
2,15,5,4,1,1,42
2,16,1,4,1,1,42
2,5,1,7,1,1,44310
2,5,1,6,1,1,168
2,5,1,5,1,1,15120
2,5,1,1,1,1,294
2,5,1,3,1,1,11214
2,5,3,7,1,1,7980
2,5,7,7,1,1,168
2,5,4,7,1,1,252
2,5,4,5,1,1,84
2,5,6,7,1,1,252
2,5,5,4,1,1,4746
2,6,1,7,1,1,42
2,6,1,3,1,1,-42
2,6,2,4,1,1,42
2,6,5,6,1,1,0
2,6,5,4,1,1,42
2,17,3,5,1,1,42
2,7,2,4,1,1,42
2,7,5,5,1,1,42
2,18,5,3,1,1,0
2,19,1,4,1,1,84
2,20,5,5,1,1,42
2,9,1,4,1,1,42
2,9,3,4,1,1,126
2,9,5,5,1,1,84
2,10,1,4,1,1,42
2,10,3,4,1,1,42
2,10,2,2,1,1,42
2,10,5,5,1,1,-42
2,21,1,3,1,1,42
2,22,2,5,1,1,42
2,23,1,4,1,1,42
2,24,1,7,1,1,-42
3,25,1,5,1,1,42
3,25,1,2,1,1,126
3,25,2,7,1,1,42
3,1,2,2,1,1,210
3,1,2,4,1,1,924
3,26,1,4,1,1,42
3,27,1,5,1,1,42
3,2,1,7,1,1,126
3,2,1,3,1,1,42
3,3,1,4,1,1,21126
3,3,3,2,1,1,126
3,3,3,4,1,1,420
3,3,2,6,1,1,126
3,3,2,5,1,1,1638
3,3,2,1,1,1,0
3,3,2,2,1,1,0
3,3,5,7,1,1,0
3,3,5,5,1,1,0
3,28,1,4,1,1,42
3,28,2,5,1,1,42
3,14,1,5,1,1,126
3,29,1,4,1,1,42
3,30,1,4,1,1,42
3,31,2,5,1,1,42
3,5,3,4,1,1,8442
3,5,8,7,1,1,252
3,5,4,4,1,1,756
3,5,6,4,1,1,1386
3,5,2,6,1,1,84
3,5,2,4,1,1,16086
3,5,5,6,1,1,0
3,5,5,5,1,1,4368
3,5,5,1,1,1,294
3,17,1,5,1,1,42
3,17,5,4,1,1,42
3,7,1,4,1,1,-42
3,7,4,4,1,1,42
3,18,3,5,1,1,42
3,18,3,3,1,1,-42
3,18,2,7,1,1,42
3,19,3,5,1,1,42
